 1, -25.98884, -42.92376 
 2, -18.84410, -29.35111 
 3, -12.12444, -9.80738 
 4, -62.41296, -67.52014 
 5, -7.90870, -5.50188 
 6, -3.66392, -3.70455 
 7, -3.46577, -3.45879 
 8, -12.08698, -21.67583 
 9, -29.96934, -25.37449 
 10, -30.37788, -40.39557 
 11, -14.02409, -33.98465 
 12, -15.15405, -7.00229 
 13, -36.46956, -28.39275 
 14, -92.93057, -83.08960 
 15, -3.66174, -3.91570 
 1, -25.98884, -42.92376 
 2, -18.84410, -29.35111 
 3, -12.12444, -9.80738 
 4, -62.41296, -67.52014 
 5, -7.90870, -5.50188 
 6, -3.66392, -3.70455 
 7, -3.46577, -3.45879 
 8, -12.08698, -21.67583 
 9, -29.96934, -25.37449 
 10, -30.37788, -40.39557 
 11, -14.02409, -33.98465 
 12, -15.15405, -7.00229 
 13, -36.46956, -28.39275 
 14, -92.93057, -83.08960 
 15, -3.66174, -3.91570 
