epoch,batch_size,d_model,d_inner,d_k,d_v,n_head,n_layers,dropout,lr,event_interest,val_loglikelihood
25,16,256,256,64,64,16,6,0.14904326462728384,1.5665095335703402e-05,7,-1.059
25,16,128,1024,128,32,4,6,0.2525271733447103,4.341089931682799e-05,7,-1.1746
25,64,512,512,32,32,8,6,0.14711962374473414,0.00010452591491601742,7,-1.0597
45,64,256,256,64,128,4,6,0.11642587275213108,3.619241651707354e-05,7,-1.3732
35,16,512,256,128,32,8,4,0.2626779629640258,0.0001117053394265508,7,-0.9276
25,32,512,512,64,64,8,6,0.19035471319539304,0.00043066482967034754,7,-1.0101
35,16,128,1024,64,32,8,8,0.27484882070906713,0.00028391984962068727,7,-1.0546
35,32,256,256,32,32,16,8,0.18314745002521146,6.776289262341195e-05,7,-0.9879
25,64,128,512,128,32,4,6,0.2547883052362283,8.385216961631012e-05,7,-2.2655
35,32,128,512,128,32,4,8,0.16409569603776736,0.0001041483721260606,7,-1.0428
45,16,512,256,128,128,8,4,0.29931943397065264,0.00021201659162774442,7,-1.0226
35,32,256,256,32,32,16,4,0.22258914330266388,4.0349494327283327e-05,7,-0.9963
35,32,512,256,32,32,16,8,0.21199751921654936,0.00019298096716454296,7,-0.9764
35,32,512,256,32,128,16,4,0.21862519607066844,0.000189885892745908,7,-0.9844
35,16,512,256,128,32,16,8,0.22797224480130057,0.0001505757579799219,7,-1.0177
35,32,512,1024,32,64,8,4,0.2587873107560092,0.0004652519421614163,7,-0.987
45,16,512,256,128,32,8,4,0.2981778599913402,1.2882342343898623e-05,7,-0.9569
45,16,512,256,128,32,8,4,0.2988057592937091,1.0374864351662963e-05,7,-0.9657
45,16,512,256,128,64,8,4,0.27670082823588427,2.2094841045467464e-05,7,-1.0053
45,16,512,1024,128,128,8,4,0.27740979745270783,2.221395051262441e-05,7,-0.9579
45,16,512,256,128,32,8,4,0.24322664952638798,6.655988066586659e-05,7,-0.9269
45,16,512,256,128,32,8,4,0.2404501286015468,1.1797147655778364e-05,7,-0.9592
45,16,512,256,128,32,8,4,0.28240082364176805,5.8057130524583265e-05,7,-0.9292
45,16,512,256,128,32,8,4,0.26901656907440763,6.53352815876099e-05,7,-0.9264
45,16,512,256,128,32,8,4,0.24242931916626517,0.0001270332129336715,7,-0.9174
45,16,512,256,128,32,8,4,0.23864682464086395,6.555440376166588e-05,7,-0.927
45,64,512,256,128,32,8,4,0.24215080423503876,4.768010868462794e-05,7,-0.9837
45,16,512,256,128,32,8,4,0.2002973623415819,3.118225512901221e-05,7,-0.9411
45,16,128,1024,128,64,8,4,0.20138954932474704,0.00014407909251138118,7,-1.0794
45,16,256,512,64,128,4,4,0.235428956062262,8.839784608304369e-05,7,-1.0026
45,16,256,256,128,64,8,4,0.2503094541758143,5.4052414053178446e-05,7,-1.0426
45,16,512,256,128,32,8,4,0.266617876934878,8.426509027396382e-05,7,-0.9238
45,16,512,256,128,32,8,4,0.2625497132418295,0.00013632429739994292,7,-0.9095
45,16,512,256,128,32,8,4,0.2624151770946929,0.0001347444342328042,7,-0.909
25,64,512,256,128,32,8,6,0.2852696123257972,0.00012826892993174856,7,-0.9983
45,16,512,256,64,32,4,4,0.26343248190717655,0.0002597919808283672,7,-0.9869
45,16,512,256,128,32,8,6,0.28860057135677686,8.545837457654911e-05,7,-0.9762
25,16,128,1024,128,32,8,4,0.10325764440341842,0.00016296049920641004,7,-0.9906
45,64,512,512,64,32,8,4,0.2676893308306291,0.0003467445974501193,7,-0.9658
45,16,256,256,128,128,8,6,0.24999072990780696,0.00013153622620566615,7,-1.038
25,16,512,512,128,32,4,8,0.17681191967803922,0.00010706543663855801,7,-1.0537
45,16,512,256,128,32,8,4,0.26992792669711513,8.972870790195412e-05,7,-0.9219
45,16,512,256,128,32,8,4,0.13686048528338673,9.293612122577835e-05,7,-0.9262
45,16,512,256,128,32,8,4,0.2599957550413748,0.0001188022618045202,7,-0.9116
45,16,128,256,128,32,8,4,0.25098639814318946,0.00023205042251301863,7,-1.0588
45,64,512,256,64,32,16,4,0.2305837323686717,0.00017466188438912384,7,-1.008
45,16,512,256,32,32,8,8,0.25871934859100054,0.00011700717467667009,7,-2.7152
25,16,512,256,128,64,8,4,0.21234840589521053,0.00032388881072268423,7,-1.0085
45,32,256,1024,128,32,4,6,0.28766652422662836,0.0001081533977104556,7,-1.0313
45,16,512,256,32,32,16,4,0.2729925914731918,0.00021616961720320656,7,-0.9973
